NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2020-03-24,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-03-25,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-03-26,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-03-27,18.7,-25.4486111,-49.23055554,922.91
CWB,2020-03-28,20.2,-25.4486111,-49.23055554,922.91
CWB,2020-03-29,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-03-30,21.3,-25.4486111,-49.23055554,922.91
CWB,2020-03-31,22.0,-25.4486111,-49.23055554,922.91
CWB,2020-04-01,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-02,23.1,-25.4486111,-49.23055554,922.91
CWB,2020-04-03,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-04,16.8,-25.4486111,-49.23055554,922.91
CWB,2020-04-05,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-04-06,20.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-07,18.5,-25.4486111,-49.23055554,922.91
CWB,2020-04-08,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-09,16.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-10,16.6,-25.4486111,-49.23055554,922.91
CWB,2020-04-11,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-04-12,17.1,-25.4486111,-49.23055554,922.91
CWB,2020-04-13,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-04-14,17.4,-25.4486111,-49.23055554,922.91
CWB,2020-04-15,14.8,-25.4486111,-49.23055554,922.91
CWB,2020-04-16,,-25.4486111,-49.23055554,922.91
CWB,2020-04-17,15.2,-25.4486111,-49.23055554,922.91
CWB,2020-04-18,14.4,-25.4486111,-49.23055554,922.91
CWB,2020-04-19,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-04-20,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-04-21,17.8,-25.4486111,-49.23055554,922.91
CWB,2020-04-22,17.6,-25.4486111,-49.23055554,922.91
CWB,2020-04-23,16.3,-25.4486111,-49.23055554,922.91
CWB,2020-04-24,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-04-25,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-04-26,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-04-27,17.9,-25.4486111,-49.23055554,922.91
CWB,2020-04-28,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-04-29,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-04-30,21.2,-25.4486111,-49.23055554,922.91
CWB,2020-05-01,20.4,-25.4486111,-49.23055554,922.91
CWB,2020-05-02,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-05-03,14.9,-25.4486111,-49.23055554,922.91
CWB,2020-05-04,15.5,-25.4486111,-49.23055554,922.91
CWB,2020-05-05,16.5,-25.4486111,-49.23055554,922.91
CWB,2020-05-06,14.7,-25.4486111,-49.23055554,922.91
CWB,2020-05-07,,-25.4486111,-49.23055554,922.91
CWB,2020-05-08,,-25.4486111,-49.23055554,922.91
CWB,2020-05-09,14.8,-25.4486111,-49.23055554,922.91
CWB,2020-05-10,16.8,-25.4486111,-49.23055554,922.91
CWB,2020-05-11,18.1,-25.4486111,-49.23055554,922.91
CWB,2020-05-12,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-05-13,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-05-14,14.9,-25.4486111,-49.23055554,922.91
CWB,2020-05-15,13.0,-25.4486111,-49.23055554,922.91
CWB,2020-05-16,14.6,-25.4486111,-49.23055554,922.91
CWB,2020-05-17,,-25.4486111,-49.23055554,922.91
CWB,2020-05-18,16.3,-25.4486111,-49.23055554,922.91
CWB,2020-05-19,16.2,-25.4486111,-49.23055554,922.91
CWB,2020-05-20,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-05-21,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-05-22,17.4,-25.4486111,-49.23055554,922.91
CWB,2020-05-23,15.5,-25.4486111,-49.23055554,922.91
CWB,2020-05-24,,-25.4486111,-49.23055554,922.91
CWB,2020-05-25,12.6,-25.4486111,-49.23055554,922.91
CWB,2020-05-26,,-25.4486111,-49.23055554,922.91
CWB,2020-05-27,,-25.4486111,-49.23055554,922.91
CWB,2020-05-28,,-25.4486111,-49.23055554,922.91
CWB,2020-05-29,,-25.4486111,-49.23055554,922.91
